ngram: 00020027-fra.0,01830021-fra.0,0.333333
ngram: 00030014-fra.1,01040061-fra.1,0.125
ngram: 00030017-eng.1,00030057-eng.1,-nan
ngram: 00030017-eng.1,00030078-fra.3,-nan
ngram: 00030017-eng.1,00030091-fra.3,-nan
ngram: 00030017-eng.1,00030095-eng.3,-nan
ngram: 00030017-eng.1,00040104-eng.0,-nan
ngram: 00030017-eng.1,00040208-fra.0,-nan
ngram: 00030017-eng.1,00040231-eng.0,-nan
ngram: 00030017-eng.1,00290011-eng.1,-nan
ngram: 00030017-eng.1,00290030-fra.1,-nan
ngram: 00030017-eng.1,00750013-fra.1,-nan
ngram: 00030017-eng.1,00800019-fra.1,-nan
ngram: 00030017-eng.1,00810009-fra.1,-nan
ngram: 00030017-eng.1,01020011-fra.0,-nan
ngram: 00030017-eng.1,01030541-eng.3,-nan
ngram: 00030017-eng.1,01050081-fra.0,-nan
ngram: 00030017-eng.1,01052012-fra.0,-nan
ngram: 00030017-eng.1,01053010-fra.0,-nan
ngram: 00030017-eng.1,01090011-fra.0,-nan
ngram: 00030017-eng.1,01100010-fra.2,-nan
ngram: 00030017-eng.1,01100013-fra.2,-nan
ngram: 00030017-eng.1,01100063-eng.0,-nan
ngram: 00030017-eng.1,01100069-fra.0,-nan
ngram: 00030017-eng.1,01100074-eng.0,-nan
ngram: 00030017-eng.1,01100080-fra.1,-nan
ngram: 00030017-eng.1,01100092-fra.0,-nan
ngram: 00030017-eng.1,01170008-eng.1,-nan
ngram: 00030017-eng.1,01180005-eng.0,-nan
ngram: 00030017-eng.1,01760050-fra.4,-nan
ngram: 00030017-eng.1,01850010-fra.1,-nan
ngram: 00030017-eng.1,02260003-eng.1,-nan
ngram: 00030017-eng.1,02280059-fra.2,-nan
ngram: 00030017-eng.1,02280063-fra.2,-nan
ngram: 00030017-eng.1,02280068-eng.1,-nan
ngram: 00030017-eng.1,02560005-eng.2,-nan
ngram: 00030017-eng.1,03020007-fra.1,-nan
ngram: 00030017-eng.1,03030059-fra.2,-nan
ngram: 00030017-eng.1,03260008-fra.1,-nan
ngram: 00030017-eng.1,03270027-fra.1,-nan
ngram: 00030017-eng.1,03270053-eng.4,-nan
ngram: 00030017-eng.1,03280011-eng.3,-nan
ngram: 00030017-eng.1,03290011-eng.1,-nan
ngram: 00030017-eng.1,03290023-fra.1,-nan
ngram: 00030017-eng.1,03290069-fra.3,-nan
ngram: 00030017-eng.1,03310003-eng.4,-nan
ngram: 00030017-eng.1,03320009-fra.1,-nan
ngram: 00030017-eng.1,03520015-eng.1,-nan
ngram: 00030017-eng.1,03580006-eng.1,-nan
ngram: 00030017-eng.1,03580019-fra.1,-nan
ngram: 00030017-eng.1,03580030-fra.0,-nan
ngram: 00030017-eng.1,03580192-fra.1,-nan
ngram: 00030017-eng.1,03580201-fra.1,-nan
ngram: 00030017-eng.1,03610019-fra.1,-nan
ngram: 00030017-eng.1,03760060-fra.1,-nan
ngram: 00030017-eng.1,03780038-eng.1,-nan
ngram: 00030017-eng.1,03780044-eng.1,-nan
ngram: 00030017-eng.1,03780084-eng.1,-nan
ngram: 00030017-eng.1,03780086-eng.1,-nan
